Faixa Etária;Ign/Branco;Cura;Óbito pelo agravo notificado;Óbito por outra causa;Óbito em investigação;Total
Em branco/IGN;59;269;2;3;-;333
<1 Ano;1869;11672;2;4;-;13547
01/abr;6182;36411;2;-;-;42595
05/set;14735;86196;2;-;-;100933
out/14;18923;117478;3;1;-;136405
15-19;22556;140023;7;3;1;162590
20-39;99435;619001;74;19;1;718530
40-59;81101;525337;140;45;2;606625
60-64;14346;93951;51;24;3;108375
65-69;11257;74204;63;31;-;85555
70-79;14075;87798;156;72;1;102102
80 e +;6031;33387;219;88;4;39729
Total;290569;1825727;721;290;12;2117319
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
